set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.011671,0.000874,0.011435,0.010736,0.014005,0.088604,0.019081,15,,,,9.23,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.011644,0.000952,0.011374,0.01065,0.014038,0.085657,0.020793,15,,,,9.14,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.01038,0.000561,0.010261,0.009398,0.011352,0.07875,0.015148,15,3557,2230162,214853274,9.05,23751001
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.020032,0.000325,0.020035,0.019467,0.020718,0.211192,0.034455,15,3554,2229543,111299527,12.26,9076200
t1-fwd,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.045469,0.000778,0.045515,0.043735,0.047147,0.613668,0.033597,15,3581,2230903,49064203,14.24,3446663
t1-rev,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.045371,0.000944,0.04537,0.043873,0.047493,0.6136,0.033157,15,3581,2230903,49170236,14.25,3449371
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.020047,0.000307,0.020062,0.019518,0.020751,0.220392,0.025519,15,3554,2229543,111216153,12.27,9066480
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.010261,0.000862,0.010274,0.008627,0.011627,0.079831,0.014813,15,3557,2230162,217350611,9.22,23563625
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.011461,0.000482,0.011448,0.010599,0.01233,0.090438,0.017378,15,3573,2124279,185345557,9.41,19702806
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython,0.031138,0.000428,0.031193,0.03053,0.031998,0.357811,0.045177,15,5777,3047694,97876513,12.94,7562736
t2-fwd,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython,0.055216,0.002455,0.054265,0.053168,0.061045,0.73479,0.034657,15,5657,2998673,54308089,13.94,3897177
t2-rev,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython,0.054522,0.001306,0.054332,0.052831,0.058857,0.723092,0.045399,15,5657,2998673,54999481,14.1,3902032
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython,0.031006,0.000392,0.031107,0.030212,0.03171,0.366694,0.036208,15,5777,3047694,98292847,12.99,7564356
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.011808,0.000821,0.011817,0.010791,0.013862,0.088369,0.018428,15,3573,2124279,179894275,9.04,19890799
