set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.033392,0.001713,0.033125,0.031452,0.038581,0.155208,0.125,15,,,,8.39,
control-start,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.031055,0.00042,0.030952,0.030519,0.03198,0.15625,0.109375,15,,,,8.55,
t1-fwd,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.026947,0.000283,0.026946,0.026529,0.027537,0.102083,0.14375,15,3559,2230164,82760858,9.12,9071854
t1-fwd,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.039851,0.000503,0.039796,0.039169,0.04098,0.198958,0.189583,15,3556,2229545,55946915,9.75,5738239
t1-fwd,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.065379,0.001231,0.065689,0.063148,0.066979,0.471875,0.3125,15,3583,2230905,34122811,12,2844182
t1-rev,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.065359,0.001404,0.064974,0.063447,0.068539,0.463542,0.338542,15,3583,2230905,34133009,12.27,2781388
t1-rev,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.039786,0.000459,0.039821,0.039029,0.040442,0.184375,0.166667,15,3556,2229545,56038421,8.82,6351226
t1-rev,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.026988,0.000235,0.026981,0.026426,0.027315,0.107292,0.123958,15,3559,2230164,82634740,8.57,9643952
t2-fwd,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.030807,0.000466,0.030823,0.030088,0.031762,0.142708,0.117708,15,3577,2127111,69046801,8.45,8168106
t2-fwd,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython,0.057588,0.000896,0.057337,0.056641,0.060433,0.319792,0.294792,15,5780,3047697,52922622,10.67,4958965
t2-fwd,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython,0.08088,0.001854,0.080273,0.078233,0.086235,0.63125,0.386458,15,5659,2998726,37076178,12.58,2946548
t2-rev,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython,0.08073,0.001759,0.080339,0.078208,0.084644,0.579167,0.407292,15,5659,2998726,37145083,12.22,3039891
t2-rev,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython,0.05763,0.000516,0.057629,0.056823,0.05862,0.339583,0.29375,15,5780,3047697,52883838,10.99,4812153
t2-rev,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.030854,0.000353,0.030752,0.030381,0.031451,0.155208,0.141667,15,3577,2127111,68940892,9.62,7165005
