set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.06122,0.00069,0.061107,0.059964,0.062386,0.601179,0.253974,15,,,,13.97,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.061201,0.000513,0.061341,0.060063,0.061988,0.585707,0.268445,15,,,,13.96,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.05146,0.000633,0.051366,0.050079,0.052346,0.464199,0.259224,15,61425,13226930,257033761,14.06,18283817
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.114078,0.006623,0.11155,0.110333,0.133505,1.363968,0.324077,15,61420,13226395,115941715,14.8,7835334
t1-fwd,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.304507,0.003626,0.303441,0.298643,0.311716,4.060594,0.435444,15,61421,13226397,43435497,14.76,2941789
t1-rev,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.30349,0.002595,0.303804,0.298719,0.307357,4.079829,0.424563,15,61421,13226397,43581042,14.84,2936334
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.115327,0.012441,0.111976,0.110803,0.160122,1.371593,0.316567,15,61420,13226395,114686039,14.64,7834798
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.051792,0.001016,0.05179,0.049756,0.053877,0.471101,0.252628,15,61425,13226930,255385171,13.97,18276088
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.061609,0.000636,0.061692,0.060422,0.062514,0.590882,0.261358,15,61950,13740143,223022234,13.83,16122389
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk,0.184561,0.009812,0.181501,0.17754,0.209073,2.342618,0.374278,15,66301,15818623,85709393,14.72,5822313
t2-fwd,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk,0.371482,0.003369,0.370377,0.366505,0.378507,5.156289,0.410321,15,65042,15688680,42232685,14.98,2818355
t2-rev,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk,0.371131,0.002729,0.37021,0.36746,0.376492,5.148837,0.420965,15,65042,15688680,42272611,15.01,2816739
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk,0.184081,0.009679,0.180742,0.179805,0.216669,2.383528,0.351035,15,66301,15818623,85933155,14.86,5784700
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.061665,0.000787,0.06186,0.060181,0.062886,0.597971,0.25463,15,61950,13740143,222820559,13.83,16115548
