set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.181947,0.013353,0.176495,0.175225,0.216079,1.246875,1.3625,15,,,,14.34,
control-start,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.184377,0.011811,0.180147,0.175673,0.216019,1.267708,1.345833,15,,,,14.17,
t1-fwd,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.162068,0.011132,0.158202,0.154866,0.192953,1.08125,1.211458,15,61425,13226930,81613479,14.15,5769129
t1-fwd,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.299291,0.016556,0.290813,0.28762,0.338994,1.830208,2.036458,15,61420,13226395,44192493,12.92,3420619
t1-fwd,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.465014,0.023584,0.454149,0.440064,0.505838,4.036458,2.113542,15,61421,13226397,28442986,13.23,2150634
t1-rev,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.439557,0.014977,0.433839,0.424685,0.468323,4.0375,2.060417,15,61421,13226397,30090274,13.87,2169003
t1-rev,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.281474,0.013898,0.275805,0.268853,0.309848,1.733333,1.985417,15,61420,13226395,46989775,13.21,3556678
t1-rev,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.161638,0.01319,0.156094,0.154817,0.197244,1.055208,1.254167,15,61425,13226930,81830356,14.29,5727493
t2-fwd,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.181846,0.010557,0.177527,0.174848,0.210256,1.240625,1.3625,15,61950,13740143,75559151,14.31,5278326
t2-fwd,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk,0.397231,0.018461,0.387078,0.379628,0.429807,2.821875,2.586458,15,66301,15818623,39822274,13.62,2924861
t2-fwd,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk,0.539535,0.018674,0.541643,0.515786,0.569757,5.2,2.365625,15,65042,15688680,29078173,14.02,2073679
t2-rev,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk,0.540164,0.019294,0.529969,0.518428,0.567416,5.246875,2.292708,15,65042,15688680,29044290,13.96,2080842
t2-rev,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk,0.396737,0.018789,0.387206,0.377058,0.427713,2.961458,2.508333,15,66301,15818623,39871801,13.79,2891997
t2-rev,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.181682,0.011577,0.177,0.175317,0.212712,1.280208,1.3625,15,61950,13740143,75627490,14.55,5199266
