set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.105018,0.003697,0.104838,0.098926,0.11131,1.151312,0.258171,15,,,,13.42,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.102566,0.002649,0.103015,0.098444,0.106281,1.134244,0.277835,15,,,,13.77,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.086847,0.00368,0.087492,0.079941,0.093011,0.898777,0.246187,15,63738,36018801,414738690,13.18,31458465
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.207428,0.002404,0.207143,0.20349,0.21317,2.767192,0.337109,15,63738,36018801,173645058,14.97,11602871
t1-fwd,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.41339,0.002483,0.413884,0.409797,0.417142,5.592821,0.593514,15,63793,36027518,87151358,14.96,5823726
t1-rev,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.41392,0.002389,0.413561,0.409663,0.417554,5.592518,0.604009,15,63793,36027518,87039847,14.97,5814147
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.208134,0.001608,0.207963,0.205677,0.210644,2.753448,0.364616,15,63738,36018801,173055788,14.98,11551655
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.08562,0.002083,0.085234,0.082688,0.090921,0.893626,0.250709,15,63738,36018801,420684414,13.37,31475725
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.104234,0.003133,0.104144,0.099285,0.110495,1.133768,0.273529,15,66539,35816820,343619360,13.5,25450785
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.320068,0.003068,0.319194,0.315687,0.328754,4.421344,0.440595,15,83784,39993947,124954501,15.19,8225925
t2-fwd,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux,0.464484,0.00344,0.463798,0.459828,0.470421,6.276414,0.697161,15,83843,39992832,86101701,15.01,5734911
t2-rev,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux,0.465381,0.003094,0.465287,0.46067,0.470434,6.279077,0.72384,15,83843,39992832,85935626,15.05,5710882
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.321053,0.002555,0.321219,0.31459,0.324142,4.462178,0.464283,15,83784,39993947,124571216,15.34,8118191
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.104477,0.004383,0.103573,0.097957,0.112264,1.119789,0.294811,15,66539,35816820,342821049,13.54,25319399
