set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.303656,0.016075,0.304925,0.285301,0.33003,2.24375,1.796875,15,,,,13.31,
control-start,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.295453,0.013898,0.2896,0.280822,0.331624,2.160417,1.819792,15,,,,13.47,
t1-fwd,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.260267,0.025839,0.247977,0.233197,0.326069,1.897917,1.464583,15,63767,36017775,138387872,12.92,10711606
t1-fwd,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.521394,0.031925,0.522021,0.462208,0.580792,3.595833,3.720833,15,63767,36017775,69079791,14.03,4922703
t1-fwd,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.62735,0.022026,0.636879,0.591155,0.662295,5.957292,2.725,15,63822,36026522,57426491,13.84,4149425
t1-rev,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.636461,0.020109,0.63076,0.611392,0.663542,6.073958,2.594792,15,63822,36026522,56604486,13.62,4155907
t1-rev,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.556621,0.075529,0.546269,0.47691,0.797894,3.469792,3.970833,15,63767,36017775,64707863,13.37,4840692
t1-rev,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.248355,0.014942,0.24494,0.224438,0.28267,1.935417,1.435417,15,63767,36017775,145025301,13.57,10685125
t2-fwd,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.301754,0.015307,0.297397,0.28114,0.335015,2.194792,1.775,15,66568,35815794,118691880,13.16,9022084
t2-fwd,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux,0.73452,0.029918,0.73231,0.689462,0.799336,5.771875,4.834375,15,83832,39992940,54447745,14.44,3770696
t2-fwd,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux,0.728132,0.021867,0.725385,0.698265,0.76221,6.894792,3.115625,15,83891,39991863,54923907,13.75,3995025
t2-rev,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux,0.7399,0.038229,0.742982,0.705891,0.847909,6.792708,3.403125,15,83891,39991863,54050371,13.78,3922373
t2-rev,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux,0.740191,0.039174,0.739767,0.678118,0.807009,5.822917,4.710417,15,83832,39992940,54030569,14.23,3796798
t2-rev,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.298544,0.013508,0.298424,0.273681,0.324966,2.107292,1.848958,15,66568,35815794,119968368,13.25,9052965
