set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura@dev-v3.2.0,/home/petros/Documents/dev/tools/given/mezura@dev-v3.2.0/mezura /home/petros/Documents/dev/bench/linux,0.11908,0.003641,0.119766,0.113101,0.124963,1.366713,0.265196,15,,,,13.7,
control-start,mezura@dev-v3.2.0,/home/petros/Documents/dev/tools/given/mezura@dev-v3.2.0/mezura /home/petros/Documents/dev/bench/linux,0.11918,0.004471,0.119855,0.11198,0.129761,1.368185,0.259309,15,,,,13.66,
t1-fwd,mezura@dev-v3.2.0,"/home/petros/Documents/dev/tools/given/mezura@dev-v3.2.0/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.095786,0.00343,0.095614,0.090665,0.101485,1.050222,0.25171,15,63738,36018801,376033914,13.59,27665669
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.209083,0.003691,0.208203,0.204954,0.216984,2.781046,0.347358,15,63738,36018801,172270527,14.96,11513477
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.207716,0.00285,0.206883,0.204432,0.214157,2.768013,0.35734,15,63738,36018801,173403735,15.05,11524715
t1-rev,mezura@dev-v3.2.0,"/home/petros/Documents/dev/tools/given/mezura@dev-v3.2.0/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.096162,0.003826,0.096748,0.088305,0.102988,1.059595,0.241361,15,63738,36018801,374563341,13.53,27686411
t2-fwd,mezura@dev-v3.2.0,/home/petros/Documents/dev/tools/given/mezura@dev-v3.2.0/mezura /home/petros/Documents/dev/bench/linux,0.116784,0.003503,0.116898,0.111228,0.121868,1.369738,0.265634,15,66539,35816820,306692821,14,21901333
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.320593,0.002614,0.320599,0.315887,0.325384,4.470574,0.438808,15,83784,39993947,124749963,15.31,8146432
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.320452,0.00193,0.320485,0.316921,0.324204,4.441841,0.440637,15,83784,39993947,124804806,15.24,8191321
t2-rev,mezura@dev-v3.2.0,/home/petros/Documents/dev/tools/given/mezura@dev-v3.2.0/mezura /home/petros/Documents/dev/bench/linux,0.118899,0.003383,0.11879,0.11275,0.123606,1.35509,0.278838,15,66539,35816820,301238158,13.74,21920688
